english	chinese
What is it that you need?	你需要什麼?
We get the materials from Malaysia.	我們從馬來西亞得到材料。
The explanation is by no means satisfactory.	這個解釋不是很令人滿意。
I'm not that kind of person.	我不是这种人。
Because there was traffic, I was late to the meeting.	因为堵车， 我开会迟到了。
I didn't do anything.	我什么事都没有做。
You may think those shoes are in fashion, but they aren't.	你可能認為那些鞋子很時髦, 但是他們不是。
He glanced at his watch.	他看了一眼他的表。
It's quarter to eight now.	现在是七点四十五分。
Keep this lesson in mind.	记好了这教训。
A Japanese wouldn't do such a thing.	日本人不會做這種事。
Two detectives followed the suspect.	两个侦探跟着嫌疑人。
I'd rather be poor than rich.	我更愿意贫穷而不是富裕。
My father drives a very old car.	我的父親開一輛舊車。
Everyone hoped that she would win.	每個人都希望她會獲勝。
It's my turn to drive next.	下次该轮到我开车了。
That red sweater looks good on you.	你穿那件紅色的毛衣好看。
I think I'm coming down with a fever.	我覺得我有點要發燒了。
How many books does he have?	他有多少册图书？
We built a fire on the beach.	我们在沙滩上起了火。
This is very good soil.	这是非常好的土壤。
I hope I make a good first impression.	我希望我能留下個好的第一印象。
Let's divide this money between you and me.	这钱你和我分了吧。
This is a hospital.	这是医院。
Tom is planning a birthday party for Mary.	湯姆正在為瑪莉籌備生日派對。
I admit this may not be the best way of doing it.	我承认这可能不是最好的方法。
I didn't see him.	我没见到他。
What's the matter with you?	你到底怎么回事嘛
She showed the visitor her baby.	她给客人看了她的宝宝。
I'm sick and tired of hamburgers.	我吃膩了漢堡。
He was playing the piano and she was singing.	他彈鋼琴，她唱歌。
It's not as cold today as it was yesterday.	今天没昨天冷。
Let me get you a ticket to the concert.	我來幫你弄張演唱會門票吧。
Your opinion is very important to us.	您的意見對我們很重要。
Tom likes apples.	湯姆喜歡蘋果。
I'm very happy.	我很快樂。
I didn't find anything.	我甚麼也沒找到。
I want to eat something delicious.	我想吃點好吃的。
I don't sing very well.	我唱歌不太好。
Picasso's paintings seem strange to me.	畢加索的畫對我來說似乎很奇怪。
The old man breathed his last.	老人咽下了最后一口气。
He witnessed the murder.	他目睹了謀殺案。
What's wrong with my legs?	我的腿有什么毛病？
I want to go to a foreign country someday.	将来我要去国外旅游。
Stay out of this.	别插手。
I caught a cold two days ago.	我兩天前感冒了。
It's my turn to do that.	轮到我做了。
You can have a ride on my motorcycle.	你可以骑上我的摩托车去遛一圈。
Tom has a twin brother.	Tom有個雙胞胎兄弟。
You'd better get away from here at once.	你最好立刻離開這裡。
She hung the calendar on the wall.	她把日曆掛在牆上了。
My father got married in his twenties.	我父親在他二十多歲時結婚了。
He hid his friend from the police.	他把他的朋友藏了起來不讓警察知道。
I'm saving money in order to study abroad.	我正存钱出国留学。
I want to get a haircut before I go on the trip.	我想在出發旅行前剪個頭髮。
Take your time. There's no hurry.	慢慢来，没那么急。
I lost my wallet.	我掉了我的钱包。
He managed to make both ends meet.	他設法使收支平衡。
I saw it last night.	昨晚我看见它了。
Would you like another cup of coffee?	你想要另一杯咖啡吗？
I don't feel like eating sushi.	我不想吃壽司。
It's freezing.	天氣好冷。
She kept me waiting for 30 minutes.	她让我等了半小时。
Tom is still in Boston.	汤姆还在波士顿。
I worked three years as Tom's assistant.	我给汤姆当了三年助手。
Do you want to know what I see?	你想知道我看见什么了吗？
Do you know what compound words are?	你知道什么是复合词吗？
It was a quiet winter's evening.	这是个静谧的冬夜。
I think skateboards are usually cheaper than rollerblades.	我觉得一般滑板比轮滑鞋便宜。
I like both science and math.	科学和数学我都喜欢。
Are you students?	您們是學生嗎？
Tom was ready to work.	湯姆準備去工作。
There will be snow tomorrow.	明天會下雪喔！
How long will the train stop here?	火车要在这里停多久？
It's nothing serious.	這沒什麼要緊的。
You can borrow my car anytime.	你隨時可以借用我的車。
Take your time. There's no rush.	慢慢來，不急。
He was aware that I was around, but didn't come to greet me.	他注意到我在場，但是沒向我打招呼。
Leave my car alone.	離我的車遠一點。
Tom smiled.	汤姆笑了。
You'd better do it soon.	你最好尽快去做。
My sister washes her hair every morning.	我妹妹每天早上洗頭髮。
Tom respects his parents.	Tom尊敬他的父母。
Do this work by tomorrow if possible.	如果可能的话，在明天前做好这个工作。
I'm awfully sorry that I was late.	非常抱歉，我遲到了。
She is a teacher.	她是位老師。
We took turns driving the car.	我們輪流開車。
Tom can swim almost as fast as I can.	汤姆几乎能游得跟我一样快。
What is your phone number?	你电话号码是多少？
He confessed his guilt.	他承認他有罪。
Money cannot buy happiness.	钱买不到幸福。
I passed the city hall on my way to the station.	我去車站的路上路過了市政廳。
I'm going to make you a drink.	我去弄飲料給你。
Tom snuck into the party.	湯姆偷溜進了派對。
Is someone there?	那边有人吗？
She speaks Chinese.	她讲中文。
I saw nothing.	我什麼都沒看見。
You work too hard these days. Aren't you tired?	这些天你工作太多了。你不累吗？
Why do people not always tell the truth?	为什么人们不总是讲真话？
Eat more apples.	你多吃苹果。
I want this work completed by two o'clock tomorrow afternoon.	明天下午2点以前，我希望这工作完成了。
I enjoyed driving on the new highway.	我很喜歡在新的高速公路上開車。
Life is very hard.	人生良苦。
She always gets her own way.	她總是隨心所欲。
Tom gets up at six every morning.	湯姆每天早上六點起床。
This is Greek to me.	看起来像天书。
Food should be chewed before being swallowed.	食物在吞嚥前要經過咀嚼。
You know too much.	你知道得太多了。
I have a toothache.	我牙疼。
There was no furniture in that room.	那個房間裡沒有家具。
They're all innocent children.	他们都是天真的孩子。
What's the exchange rate today?	今天的匯率是多少？
Don't let that happen again.	不要再让这种事发生了！
She has beautiful handwriting.	她的笔迹漂亮极了。
I've got a few friends.	我有一些朋友。
That's really sad.	這真的很糟。
Control yourself!	控制住自己！
I'm afraid that I differ with you on this point.	恐怕就这点上，我和你持不同意见。
Please close the door quietly.	請安靜地關門。
This is what Tom would want me to do.	這就是湯姆想讓我做的。
Tom got fatter.	汤姆胖了。
I really enjoyed myself tonight.	今晚我玩得很開心。
How do you get your children to eat vegetables?	你怎样让你的孩子们吃蔬菜？
I will give you a call as soon as I get home.	我一回到家就打电话给你。
Tom is busy all the time.	汤姆一直都忙。
That sign over there says that swimming isn't allowed in this lake.	那邊那個牌子寫著這片湖裡禁止游泳。
Did you have a good time?	你度过愉快的时光了吗？
This has nothing to do with me.	这不关我的事。
I felt lonely.	我觉得很孤独。
Tom may come back.	汤姆可能会回来。
The boy got his hands dirty.	這個男孩把他的手弄髒了。
Tom says he left a note.	汤姆说他留了张便条。
The bottle fell and broke.	瓶子掉下来摔碎了。
Sometimes that happens.	那有时会发生。
How far away are we?	我们有多远了？
None of the teachers could solve the problem.	所有的老师都无法解决这个问题。
The wind is cold today.	今天刮冷风。
I'm not quite well.	我有點不舒服。
I'm tired of your complaints.	我已經厭倦了你的投訴。
It is not necessary for us to attend the meeting.	我們沒有必要參加會議。
She boiled the eggs.	她煮了蛋。
I have cancer.	我有癌症。
I know those girls.	我認識那些女孩。
The ambassador was recalled from Warsaw.	大使被从华沙召回。
Come in.	进来。
They will not pass!	他們不會通過的!
This book is quite difficult.	这本书很难读。
Are you really from here?	你真的来自这里？
People call me Tom.	人家叫我汤姆。
She turned a page of her book.	她翻了一页书。
My joints ache when it gets cold.	當天氣變冷的時候，我的關節疼痛。
I want to go there.	我想去那裡。
I'm a professor.	我是大学教授。
I will provide you all the necessary information.	我会把所有有用的信息给你的。
Is he still interested?	他還有興趣嗎？
Tom lacks flexibility.	汤姆缺乏灵活性。
He deposited the prize money in the bank.	他把奖金存到银行了。
Tom will paint the fence tomorrow.	Tom明天將漆柵欄。
I'll call you.	我会打电话给你。
What have you done with my pen?	你用我的筆做了什麼?
Countless stars were twinkling in the sky.	无数星星在天上闪烁。
He cracked the walnut with his teeth.	他用牙齒咬碎了核桃。
I don't know my father's annual income.	我不知到我爸的年收入是多少。
I'm still your friend.	我还是你的朋友。
I don't want to sleep.	我不想睡覺。
They have their own troubles.	他们有他们自己的问题。
Some scientists believe that the greenhouse effect is imaginary.	有的科學家認為溫室效應是虛構的。
Try it again.	再试一下。
It has nothing to do with me.	这不关我的事。
Are you up?	你起床了嗎？
I felt the earth shake.	我感覺到地震了。
I visited my grandmother's house.	我拜訪了我祖母的房子。
Tom doesn't want to come to Australia.	湯姆不想來澳大利亞。
Can you play the guitar?	你会弹吉他吗？
I believe you.	我相信你。
These pictures are really very beautiful.	这些照片真美。
It was not until I reached home that I missed my purse.	那是在我到家以后，我才不见了我的钱包。
I know that you know that I know.	我知道你知道我知道。
I live in an apartment in the city.	我住在城市中的一間公寓裡。
It is likely to be fine tomorrow.	明天天氣可能很好。
When are you coming home?	你什麼時候回家？
She had the decency to apologize.	她大方地道歉。
That's awesome, right?	很棒，不是吗？
I bet Tom forgot.	我打賭湯姆忘了。
Do you meet him often?	你常常跟他見面嗎？
I'll give you a prescription.	我会给你开个药方。
We are both in the same class.	我們兩個同班。
Are you going to be in Boston this weekend?	你這週末在波士頓過嗎？
I have to go home a little early today.	我今天要早点回家。
I'm under so much pressure, I just want to cry.	我壓力好大，我真想哭。
I'm very grateful for everything you've done for me.	非常感谢你所做的一切。
It was raining heavily when I got up this morning.	我今天早上起来的时候雨下得很大。
She's a glamorous girl.	她是个迷人的女孩子。
Tom knows you better than he knows anyone else.	湯姆對你的瞭解比對其他人都清楚。
She appears to have a lot of friends.	她看起來好像有很多朋友。
I wasn't yet married at that time.	那個時候我還沒有結婚。
He solved the difficult problem.	他解決了難題。
The leaves will turn red in two or three weeks.	再过两三周，树叶就会变红吧。
Do you deny that you went there?	你否認你去了那裡嗎?
I haven't seen her since then.	我從那時起就沒有見過她。
The opening ceremony took place yesterday.	昨天舉辦了開幕式。
We just moved in.	我們才剛搬進來。
Have you ever made more than $30,000 in one month?	你曾經一個月賺過 3 萬美元以上嗎？
We could do something big.	我們能做點大事。
Keep it up!	坚持。
All you have to do is say the word, and I'll leave.	你只要说句话，我就走。
It's true that she's dead.	她确实死了。
The milk is sour.	牛奶酸了。
The problem is that solar energy costs too much.	問題是, 太陽能太貴了。
Unfortunately, it's true.	可惜这是真的。
I didn't even think of it.	我連想都沒想。
He has some money in the bank.	他银行里有点钱。
We have ample time to catch our train.	我们有充裕的时间赶上火车。
He asked me to help him.	他要求我幫助他。
I think that it could use some salt.	我认为这可以撒些盐。
I lost my ticket. What should I do?	我丢了我的票。我該怎麼辦？
She was arrested by the police.	她被警方逮捕了。
I haven't watched that video yet.	我还没看过那段视频。
What are you saying?	你在说什么呢？
I can't find him anywhere.	我在哪儿都没找到他。
Is there a zoo in Boston?	波士頓有動物園嗎？
See you then.	到時候見。
How much is the bus fare?	公車票價多少？
May I ask you for your name and address?	我能问一下您的姓名和住址吗？
What's their location?	他們的位置是？
Do you know when the supermarket closes?	你知道商场什么时候关门吗？
I'm not as optimistic as you are.	我没有你那么乐观。
Who will look after your dog?	誰要照顧你的狗？
I hope that you're not too miffed.	希望你没有很生气。
I have to go to the bathroom.	我要去廁所。
Tom had a lot of problems at the school.	汤姆在学校遇到了很多问题。
Bring the key.	帶鑰匙來。
It's quarter to eight now.	现在是7点45分。
This box is too bulky to carry.	這個箱子太笨重了無法攜帶。
There are many stores in this area.	這個區域有很多商店。
This is the house I lived in when I was young.	这是我年轻时候住的房子。
Try to avoid overdoing it.	避免太夸张。
Tom sold Mary his car.	汤姆把他的汽车卖给了玛丽。
I've got a pacemaker.	我裝了個心臟起搏器。
Someone must've stolen your watch.	一定是有人偷了你的手錶。
He should have been a lawyer.	他本应该成为一个律师。
Tom shouldn't have been here today.	Tom今天不該在這。
The law isn't always fair.	法律並不總是公平的。
You're mine.	你是我的。
Where is the city hall?	市政府在哪裡?
We have plenty of time tonight.	今晚我们有充分的时间。
He is ashamed of his failure.	他为他的失败感到羞耻。
Many workers were laid off at that plant.	那个工厂开除了很多工人。
I don't have the time or the money.	我沒有時間，也沒有錢。
These flowers grow in warm countries.	這些花生長在溫暖的國家。
I think that they're a lot of fun.	我觉得他们很有意思。
I wonder if Tom really wanted to go to Australia with Mary.	我怀疑汤姆是不是真的想和玛丽一起去澳大利亚。
He plays the guitar very well.	他吉他彈得很好。
You should study harder.	你應該更努力學習。
I can do that for Tom.	我可以为汤姆做。
Stay there.	留在这里别动。
Throughout the five years of painful cancer treatments, he managed to keep a stiff upper lip.	这五年痛苦的癌症治疗他终于坚持下来了。
When do you usually get off work?	您一般几点下班？
I totally agree.	我完全同意。
After the accident, Tom decided to stop skating.	事故过后，汤姆觉得停止滑冰了。
I called Tom up.	我打電話給湯姆了。
I'm busy looking for an apartment.	我正忙著找公寓。
Everyone knew that Tom's French was good.	每个人都知道汤姆的法语很好。
Call the police.	报警！
Pale ale is a low-alcohol beer.	淡啤酒是一種酒精含量低的啤酒。
You should get your hair cut.	你该剪头发了。
We went out for a walk after dinner.	我们在吃过晚餐后出去散步了。
The train was so crowded that I had to stand all the way.	這班火車如此的擁擠以至於我整個車程都必須站著。
Tom knew how to do that.	汤姆知道怎么做那事。
I heard her singing a song.	我聽到她唱歌。
I think Tom's an idiot.	我想汤姆是个蠢材。
Are you saying that my life is in danger?	你在说我有生命危险吗？
Tom is on his way here now.	湯姆現在正往這裡趕來。
I'm glad that I didn't buy something like this.	我很高兴没有买这样的东西。
The grapefruit tastes very sour.	柚子很酸。
You like elephants.	你喜欢大象。
My motorcycle is new.	我的摩托車是新的。
Tom has no idea what to do with all the junk in his garage.	汤姆不知道拿他车库的那些废物怎么办。
This is my new guitar.	这是我的新吉他。
Tom is the one, isn't he?	湯姆就是那一個，不是他麼？
I fed the dog.	我餵過狗了。
Tom said he didn't want to waste time arguing.	汤姆说他不想把时间浪费在争论上。
It'll be finished in a day or two.	一兩天內就能結束。
It's a waste of time.	这是浪费时间。
We're looking for him.	我们在找他。
When I first came back to Boston, I was really lonely.	当我第一次回波士顿时，我真是孤独。
You are not at all wrong.	你完全没错。
The moon is already out.	月亮已經出來了。
We had fish for dinner last night.	昨天晚饭吃的鱼。
My father had already finished breakfast when I got up this morning.	我今早起床时，我爸已经吃过早饭了。
It'll soon be three o'clock.	很快就要三點鐘了。
I like mathematics.	我喜欢数学。
The sun went below the horizon.	太陽落到地平線下了。
Who doesn't like Christmas?	誰不喜歡聖誕節呢？
Did you remember to turn off the oven?	你記得關烤箱了嗎？
Somebody has stolen my hair dryer.	有人偷了我的吹風機。
My sister made me a beautiful doll.	我妹妹做了一個漂亮的娃娃給我。
They say there are ghosts in this old house.	據說老房子鬧鬼。
The girl is small for her age.	就她的年齡來說，這個女孩算是矮小的。
Frankly speaking, he's wrong.	坦率地说，他错了。
You shouldn't keep them waiting so long.	你不该让他们等那么久。
Money does not grow on trees.	錢不會從樹上長出來。
Oh! I'm sorry to hear that.	哦！我很遺憾聽到這個消息。
I wouldn't buy anything in this store.	我不会在这家店买任何东西。
She complained to me of his rudeness.	她向我抱怨他的粗鲁无礼。
Tom went to Boston to spend Christmas with his grandparents.	湯姆去波士頓陪爺爺奶奶過聖誕節。
There's someone at the door.	有人在門口。
I mean to quit this company.	我想從這家公司辭職。
I saw him swim across the river.	我看見他游過了河。
There's not a moment to waste.	一刻也不浪費。
Tom didn't give an explanation.	汤姆没做解释。
I took it for granted that he would keep his word.	我理所當然地認為他會履行諾言。
Do you garden?	你做園藝嗎？
It's a clear day.	它是一個晴朗的日子。
Are you ready?	你准备好了吗？
Do you still buy lottery tickets?	你還買彩票嗎？
I'm sorry I've kept you waiting so long.	让您等了很久，我很抱歉。
Where do you want to go today?	你今天想去哪儿呀？
The apples are delicious.	這些蘋果很好吃。
I think Tom lied.	我覺得湯姆說謊。
I was somewhere else.	我在另一个地方。
I don't think I can help you very much.	我看我幫不上你多少忙。
You can't drink seawater because it's too salty.	你不能喝海水，因为它太咸了。
My brother is now in Australia.	我哥哥現在在澳洲。
I'd rather go swimming.	我寧願去游泳。
Do you have a student ID?	你有学生证吗？
What are you driving at?	你在暗示什么？
Not everything can be bought with money.	不是所有的東西都可以用金錢買到。
Could you please not smoke in this room?	请问你能不在房间里吸烟吗？
Knowledge is power.	知識就是力量。
Time flies.	時光飛逝。
What sound does a giraffe make?	长颈鹿是怎么叫的？
Let's eat sushi.	讓我們吃壽司吧。
How long did you live there?	你住在那裡多久了?
We can't sit idly by.	我們不能光坐著。
Cutting a cake into equal pieces is rather difficult.	均分蛋糕有些難度。
He crossed the river in a small boat.	他乘小船過河。
Is French easy to learn?	法语好学吗？
I want to go ice skating.	我想去滑冰。
I need to study math.	我需要学习数学。
You didn't write anything.	你甚麼也沒寫。
They admired the lovely scenery.	他們欣賞了美麗的風景。
He got down the book from the shelf.	他從架子上拿下書。
His laziness is a bad sign for the future.	他的懒惰是他未来不好的预兆。
I can come, too.	我也能去。
We didn't need to hurry.	我们没必要急。
Dozens of young people attended the demonstration.	几十个年轻人参加了示威游行。
I'd like to visit your country someday.	我想某一天拜访你的国家。
Life is what happens to you while you're busy making other plans.	生活就是當你忙著進行你的計劃時總有其他的事情發生。
I needed to speak to you about something.	我需要跟你說點事。
I competed with him for the championship.	我和他競爭冠軍。
My parents want to meet you.	我父母想见你。
Mary is going to help us tomorrow.	玛丽明天会来帮我们。
Got it?	懂了吗？
You really are an idiot.	你真的是（一）個笨蛋。
Tom knows how to behave in public.	汤姆知道在公众场合怎么样自处。
He was an honest man.	他以前是个诚实的人。
Is there a souvenir shop in the hotel?	旅館裡面有紀念品商店嗎?
My apartment is near here.	我的公寓在這附近。
Who do you suggest we talk to?	你建議我們跟誰講話？
I know he is watching me.	我知道他在看著我。
How much money do you have hidden under your bed?	你在你的床下面藏了多少钱？
Prices have reached a 13-year high.	价格已经达到了十三年以来的最高点。
You'd better wait until the police come.	你最好等到警察前来。
May I ask you to call me back later?	你等一会然后再给我打电话，可以吗？
I think it was a good day.	我認為那是個好日子。
He hid in the bushes so that they would not see him.	他藏身在灌木中以免他們發現。
I have to say I envy you guys.	我不得不說我羨慕你們。
We were friends.	我们是朋友。
The bear was eating an apple.	這隻熊正在吃一個蘋果。
I spoke with him about the matter.	我跟他談過這個問題。
The things he says are entirely inconsequential.	他说的话根本毫无意义。
I watched TV this morning.	我今天早上看了电视。
I need it ASAP.	我尽快需要。
All the world speaks English.	世界各地都說英語。
Tom came a little earlier today than he usually does.	汤姆今天来得比往常要早一些。
Which hat is yours?	哪顶帽子是你的？
Who's the author of this story?	这本小说的作者是谁？
This room is cleaned by Tom.	這房間是由湯姆清掃的。
This radio is no bigger than a matchbox.	这收音机不比火柴盒大。
Tom's mother is a nurse at the hospital that's across the street from where Mary lives.	汤姆的妈妈是一名护士，她所在的医院就在玛丽住的那条街的对面。
Whose bicycle is this?	这辆自行车是谁的？
You'd better go to see your family doctor at once.	你最好立刻去看你的家庭醫生。
I laughed.	我笑了。
He's the same age as me.	他和我同岁。
It was ridiculous.	滑稽可笑。
You're too drunk to drive.	你酒喝得太醉了不能開車。
He hid himself behind the door.	他把自己藏在門後面。
My idea is different from yours.	我的想法和你的不一样。
Cash donations will be accepted.	接受现金捐赠。
He greeted the lady.	他向那位女士问好。
Let's begin.	讓我們開始吧。
Have you made any New Year's resolutions?	你有沒有許下什麼新年願望？
Every door in the house is locked.	這房子裡的每一扇門都被鎖上了。
Tom thanked Mary for coming.	汤姆感谢玛丽的光临。
Can you tell us a bit more about that?	能再告诉我一点吗？
Now shake hands and make up.	现在握个手和解吧。
I saw her clean the room.	我看見了她打掃房間。
This isn't good.	这不好。
Solar power is environmentally friendly.	太陽能有益於環保。
I also went.	我也去了。
I'd like to swim in this river.	我想在這條河裡游泳。
Who drew it?	誰畫的？
There was a cottage on the side of the hill.	山坡上有一个茅屋。
What goes up must come down.	有起必有落。
Some people criticized our decision.	一些人批评了我们的决定。
This job pays 10,000 yen a day.	這個工作一天有10,000日圓的報酬。
I didn't know where it came from.	我不知道它是从哪里来的。
My favorite color is brown.	我最喜欢的颜色是棕色。
I know your brother very well.	我和你哥哥很熟。
Will you please show me the way?	請您給我指一指路好嗎？
Man cannot live forever.	人无法长生不死。
I'm a member of the swimming club.	我是游泳俱樂部的會員。
Ouch! My finger got caught in the door.	好痛！被门夹到手指了！
A fly can walk on the ceiling.	蒼蠅能在天花板上走。
Democracy is the worst form of government, except all the others that have been tried.	除了那些我们尝试过的政府形态，民主是最差的那种了。
He had a shower before breakfast.	他在早餐前洗了个澡。
I am not stupid.	我不是笨蛋。
The sun sets in the west.	太阳在西边落下。
She lives next door to him.	她住在他的隔壁。
He likes Disney.	他喜欢迪士尼。
All the guests were touched by her hospitality.	所有的客人都被她的好客感动了。
Finish your work.	完成你的工作。
The wind blew too hard for them to play in the park.	风刮得太猛，他们没法在公园里玩了。
Kindness is the language which the deaf can hear and the blind can see.	善良是聾子能聽盲人能看的語言。
I can't keep up with you.	我無法跟上你。
Sales went up 13 percent.	價格上漲 13%。
I'm dead tired.	我累死了。
Tom isn't going to be happy.	汤姆不会高兴。
I like your way of thinking.	我喜歡你思考的方法。
Do I look rich?	我看起来很有钱吗？
Chinese is a tonal language.	漢語是一個聲調語言。
Answer the telephone, will you?	請你接聽一下電話，好嗎？
I should've chosen a shorter username.	我该用短一点的用户名的。
I've been reading this for a few hours.	我一直讀這個讀了幾個小時。
What's your native language?	你的母语是什么？
Everyone will die.	人固有一死。
We gave the car a push.	我們推了車。
You don't like love stories, do you?	你不喜歡愛情故事，是嗎？
Do you want to have sushi tonight?	你今晚想吃壽司嗎？
I can't swim well.	我不擅长游泳。
Tom didn't tell me the truth.	湯姆沒有告訴我實話。
I'm afraid not.	恐怕不行。
I'm thirty.	我三十歲。
Tom doesn't seem to agree.	汤姆似乎不同意。
It's very simple.	这很简单。
Do you have a TV?	你有电视吗？
Because of the typhoon, my parents ended their trip one day early.	因为台风的关系，我的父母提早一天结束了旅行回到家。
Let's sing the song in English.	讓我們唱英文歌曲。
It's warm in here.	這裡是溫暖的。
They welcomed me warmly, so I felt at home.	他们这么热情的欢迎我，让我感觉家人一样。
I want to know where they are.	我想知道他们在哪里。
I love movies.	我愛電影。
Thank you for telling me the truth.	謝謝你告訴我真相。
Are you serious?	你认真的？
What did you want us to do?	你要我们做什么？
Your son has come of age.	你儿子现在成人了。
It was an advantage having learned Chinese while I was in school.	在学校时我学了中文是个优势。
Tom quietly opened the door and tiptoed into the room.	汤姆悄悄地打开了门，蹑手蹑脚地走进了房间。
I hope you can come.	我希望你能来。
Life without love has no meaning at all.	没有爱情的生活毫无意义。
Then what?	那又怎樣?
What kind of food do you have?	你们有什么菜？
Industry as we know it today didn't exist in those days.	我们今天所认识的工业在那个时代不存在。
There's no need for you to prepare a formal speech.	您没必要准备一个正式的演讲。
You are not a coward.	你不是个懦夫。
Tom made a bet with Mary.	湯姆跟瑪麗打了箇賭。
What did Tom write on the blackboard?	湯姆在黑板上寫了什麼？
When will it end?	什么时候才结束啊？
I just want to sleep.	我只想睡觉。
What do you want to be?	您想成为什么？
No one else was hurt.	没有别的人受伤。
May I ask how old you are?	请问您老人家高寿？
He reads a good deal.	他读很多书。
Our train arrived on time.	我们的火车准时来到。
Tom can't find his bag.	汤姆找不到他的包了。
They talked about love.	他們談論了愛情。
I got your fax the other day.	我前幾天收到了你的傳真。
Why doesn't Tom sit with me anymore?	為什麼湯姆再也不跟我坐一起？
When did the movie start?	电影什么时候开始？
It won't take much time.	不會花很多時間的。
Take your hats off.	把你们的帽子摘下来。
I know that Tom is a teacher here.	我知道汤姆是这里的一个老师。
Please take good care of yourself.	請好好照顧你自己。
That is a pencil.	那是一支铅笔。
Are you my father?	你是我爸吗？
On my way home, I met him.	我在回家的路上遇到了他。
She may come.	她可以來。
Tom has to go to the hospital.	汤姆必须去医院。
I'm in a hurry today.	我今天趕時間。
Will you tell me why you like her?	你能告诉我你为什么喜欢她吗？
She fooled him.	她骗了他。
What's new?	有什么新鲜事吗？
Tom sat at his desk working.	湯姆在他的桌邊工作。
Crocodiles have sharp teeth.	鳄鱼有尖利的牙齿。
Please deliver it to this address.	你能把它送到這個地址嗎？
She went out to buy some food.	她出去買些食物了。
Interest rates are still low.	利率還是低。
Tom isn't wrong.	湯姆沒有錯。
The world is running out of oil.	世界上的石油快用完了。
I have no idea what Tom needs to do.	我不知道湯姆需要做什麼。
She hates carrots.	她討厭胡蘿蔔。
Do you know him?	你认识他吗？
Thank you ever so much.	非常感谢！
Do you think I'm stupid?	你認為我傻嗎？
I don't know much about computers.	我對電腦知道的不多。
I love him, but he loves someone else.	我爱他，但他有了心上人。
You're not old enough to get a driver's license.	你还没到可以拿驾驶执照的年龄。
That's right!	對了！
Venus doesn’t have any moons.	金星沒有衛星。
I said I would make her happy.	我说我会让她幸福的。
The door clicked shut.	门咔哒一声关上了。
She got on the subway at Ginza.	她在銀座搭乘了地鐵。
There were lots of people.	有很多人。
There were three uniformed police officers at the crime scene.	犯罪现场有三名穿制服的警察。
Tom didn't give me back my money.	湯姆沒有還我錢。
I think it will be hot today.	我觉得今天会很热。
The history class starts at nine.	历史课九点开始。
Tom only drinks bottled water.	湯姆只喝瓶裝水。
That happens every day.	那样的事天天都有。
Is there anything else you want me to do?	你还有什么事情需要我去做的吗？
She cooked the dinner herself.	她自己煮晚餐了。
I know that you're learning French at school.	我知道你在學校學法語。
Please tell me everything's OK.	請告訴我一切都好。
I wish I could stop thinking about Tom.	希望我可以不再想Tom。
I waste a lot of time daydreaming.	我浪費了很多時間作白日夢。
The apple doesn't fall far from the tree.	蘋果掉落的地方不會離樹幹很遠。
I can't understand why you are so critical of him.	我不明白为什么你这么批评他。
He parked his car in front of the building.	他把车停在大楼前。
Please turn off the TV.	請把電視關掉。
He quarrelled with his brother.	他和他弟弟吵了起来。
Do you want this job or not?	你想不想要這工作？
I'll treat you to dinner.	晚饭我请客。
I met her on campus yesterday.	我昨天在校園裡遇到了她。
We have to think about it.	我們不能不考慮它。
The mechanic assembled the engine.	這名技師組裝了這台引擎。
Make another appointment at the front desk.	在服務台另外預約。
The fire alarm rang.	火警警报响了。
I sent her a doll.	我寄给她一个娃娃。
Our school is further away than the station.	去我们学校比去火车站要远。
He's very fond of science fiction.	他非常喜欢科幻小说。
This story may sound strange, but it's absolutely true.	這個故事聽起來可能很奇怪，但卻是千真萬確的。
Tom is divorced and has a daughter.	Tom離婚了，他有個女兒。
Don't throw rocks into the river.	不要扔石頭到河裡。
How long have you lived in Boston?	你在波士顿住了多久？
I am busy cooking at the moment.	我此刻正忙著做飯。
He will be back tomorrow.	明天他會回來。
Is Tom living in Boston?	汤姆住在波士顿吗？
Come in, it's open.	进来，门开着。
What does this stand for?	这是什么意思？
They're armed.	他們有帶武器。
She paid me a visit yesterday.	她昨天来见我了。
It was ten years ago that he first came to Japan.	他第一次來到日本是在十年前。
Their eyes met.	他們目光相接。
Can you distinguish silver from tin?	你能分辨銀和錫嗎?
I am near the station.	我在車站附近。
I asked him to open the window.	我請他把窗戶打開。
What's the meaning of this word?	這個字是什麼意思?
Sorry to be late.	對不起，我遲到了。
I didn't sell Tom my car.	我没把我的车卖给汤姆。
Ask her when she will come back.	问问她什么时候回来。
Are you sad?	你傷心嗎？
If she had married you, she would be happy now.	如果她和你结婚了，她现在会很幸福。
What's the point in doing that?	那樣做有什麼用?
Things are the same, but people have changed.	物是人非。
This is not important.	這個不重要。
Everyone in the room was stunned by what happened.	屋裡人都被發生的事驚住了。
Stop bothering me.	不要烦我。
It is absolutely impossible to do so.	絕對不可能這樣做的。
Hi, everybody.	大家好！
How much money does he make a month?	他每个月挣多少？
Christmas is a time for giving and sharing.	聖誕節是給予和分享的時節。
She was killed in an automobile accident.	她死於一場汽車車禍。
Please take me to the hospital.	請帶我去醫院。
I'm sorry, I can't stay long.	对不起，我不能待很久。
There were two pieces of cake.	那有两块蛋糕。
